,ID,Test No,TB,Tem.,Inj. Back pressure,Cylinder,PumpType        (eg:CB18-16),No. of Plunger,No. of Lobe,Devolume ,Ratio,Plunger lift_mm,Injector  Type,Needle Lift,Armature lift,Nozzle Flow Rate_ cm3/30s@100bar,holes Num.,K/ks,DSP,Rail Type,Volume,PRT,RIT,"w/ PLV 
or PCV",ECU Type,HPP P2R_Length,HPP P2R_ID,HPP P2R_OD,HPP R2I_Length,HPP R2I_ID,HPP R2I_OD,Unnamed: 31,Unnamed: 32,Pump type,Plunger Num.,Cam lobes,Plunger lift_mm.1,Geometrical fuel delivery:mm3/rev
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yw,1.0,2017/052,H1901,40.0,0.5,4.0,CB08 OHW,1.0,3.0,704.0, 1/2,8.3,CRI14 S3,0.85,,380.0,6.0,K=0,0.1507,HFR,15.0,no,no,w/PLV,EDC17C63,365.0,3.0,6.35,168.0,3.0,6.35,,,,,,,
,2.0,2017/050,H1901,40.0,0.5,4.0,CB18-16,2.0,3.0,1408.0, 1/2,8.3,CRI1-16 w/ RP,0.85,,410.0,8.0,k=0,0.137,HFR,17.36,no,no,w/o PLV and PCV,EDC17CV44,217.5,3.0,6.35,270.0,3.0,6.35,,,,,,,
,3.0,2017/050,H1901,40.0,0.5,4.0,CB18-16,2.0,3.0,1408.0, 1/2,8.3,CRI1-16 w/ RP,0.85,,450.0,8.0,k=0,0.143,HFR,17.36,no,no,w/o PLV and PCV,EDC17CV44,217.5,3.0,6.35,270.0,3.0,6.35,,,,,,,
,5.0,2017/026,H1901,40.0,0.5,4.0,CB18-16,2.0,3.0,1408.0, 1/2,8.3,CRI1-16,0.85,,500.0,7.0,zs,0.149,"CRI1-16
HFR",19.0,no,no,w/PLV,EDC17CV44,414.5,6.35,3.0,187.0,6.35,3.0,,,,,,,
,6.0,2017/026,H1901,40.0,0.5,4.0,CB18-16,2.0,3.0,1408.0, 1/2,8.3,CRI1-16,0.85,,550.0,7.0,zs,0.156,"CRI1-16
HFR",19.0,no,no,w/PLV,EDC17CV44,414.5,6.35,3.0,187.0,6.35,3.0,,,,,,,
,7.0,2017/026,H1901,40.0,0.5,4.0,CB18-16,2.0,3.0,1408.0, 1/2,8.3,CRI1-16,0.85,,600.0,7.0,zs,0.163,"CRI1-16
HFR",19.0,no,no,w/PLV,EDC17CV44,414.5,6.35,3.0,187.0,6.35,3.0,,,,,,,
